[2021-06-22T15:46:22.675] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36"}
[2021-06-22T15:46:23.622] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/","host":"localhost:3000","message":{"responseTime":"响应时间为0s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36"}
[2021-06-22T15:46:28.914] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/login","host":"localhost:3000","message":"Error: invalid appid, rid: 60d19554-1537870e-244cb079\n    at Request._callback (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/service/wx.js:16:32)\n    at Request.self.callback (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:185:22)\n    at Request.emit (events.js:315:20)\n    at Request.<anonymous> (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:1154:10)\n    at Request.emit (events.js:315:20)\n    at IncomingMessage.<anonymous> (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:1076:12)\n    at Object.onceWrapper (events.js:421:28)\n    at IncomingMessage.emit (events.js:327:22)\n    at endReadableNT (internal/streams/readable.js:1327:12)\n    at processTicksAndRejections (internal/process/task_queues.js:80:21)","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.106 Safari/537.36"}
[2021-06-22T16:01:08.473] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=033w8C000tdaWL1f76400jMv222w8C0j","host":"localhost:3000","message":"Error: invalid appid, rid: 60d198c4-65842e23-61f6661d\n    at Request._callback (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/service/wx.js:16:32)\n    at Request.self.callback (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:185:22)\n    at Request.emit (events.js:315:20)\n    at Request.<anonymous> (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:1154:10)\n    at Request.emit (events.js:315:20)\n    at IncomingMessage.<anonymous> (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:1076:12)\n    at Object.onceWrapper (events.js:421:28)\n    at IncomingMessage.emit (events.js:327:22)\n    at endReadableNT (internal/streams/readable.js:1327:12)\n    at processTicksAndRejections (internal/process/task_queues.js:80:21)","referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:01:55.941] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=083xMell2gTMg74r13ll224vUE0xMel9","host":"localhost:3000","message":"Error: invalid appid, rid: 60d198f3-1c402b37-5ac3028e\n    at Request._callback (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/service/wx.js:16:32)\n    at Request.self.callback (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:185:22)\n    at Request.emit (events.js:315:20)\n    at Request.<anonymous> (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:1154:10)\n    at Request.emit (events.js:315:20)\n    at IncomingMessage.<anonymous> (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/request/request.js:1076:12)\n    at Object.onceWrapper (events.js:421:28)\n    at IncomingMessage.emit (events.js:327:22)\n    at endReadableNT (internal/streams/readable.js:1327:12)\n    at processTicksAndRejections (internal/process/task_queues.js:80:21)","referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:05:56.598] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=083Bk4000eCFVL16Zn300MhfUV0Bk40V","host":"localhost:3000","message":{"responseTime":"响应时间为0.403s"},"referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:08:23.005] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=023tty0w352xBW2KrQ3w3sWPng1tty0k","host":"localhost:3000","message":"TypeError: Cannot read property 'code' of undefined\n    at Object.login (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/controller/home.js:12:52)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/router/router.js:10:39\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:372:16\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:34:12\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:377:31)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at cors (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa2-cors/dist/index.js:91:15)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-send/index.js:8:15\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at bodyParser (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-bodyparser/index.js:95:11)\n    at processTicksAndRejections (internal/process/task_queues.js:93:5)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-log/logger.js:55:5","referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:08:52.860] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=063Ul4ml2kn7h74I3Dkl29MYEH1Ul4m6","host":"localhost:3000","message":"TypeError: Cannot read property 'code' of undefined\n    at Object.login (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/controller/home.js:13:52)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/router/router.js:10:39\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:372:16\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:34:12\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:377:31)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at cors (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa2-cors/dist/index.js:91:15)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-send/index.js:8:15\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at bodyParser (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-bodyparser/index.js:95:11)\n    at processTicksAndRejections (internal/process/task_queues.js:93:5)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-log/logger.js:55:5","referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:09:08.914] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=023Rgwll21izg74Ujiml24ho3c4RgwlH","host":"localhost:3000","message":"TypeError: Cannot read property 'code' of undefined\n    at Object.login (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/controller/home.js:13:52)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/router/router.js:10:39\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:372:16\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:34:12\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:377:31)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at cors (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa2-cors/dist/index.js:91:15)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-send/index.js:8:15\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at bodyParser (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-bodyparser/index.js:95:11)\n    at processTicksAndRejections (internal/process/task_queues.js:93:5)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-log/logger.js:55:5","referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:09:50.192] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=0432In1w37qOBW2ahd4w356qPU02In1s","host":"localhost:3000","message":"TypeError: Cannot read property 'code' of undefined\n    at Object.login (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/controller/home.js:13:52)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/router/router.js:10:39\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:372:16\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:34:12\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-router/lib/router.js:377:31)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at cors (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa2-cors/dist/index.js:91:15)\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-send/index.js:8:15\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at bodyParser (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-bodyparser/index.js:95:11)\n    at processTicksAndRejections (internal/process/task_queues.js:93:5)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-log/logger.js:55:5","referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
[2021-06-22T16:10:49.797] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"172.20.168.136","method":"GET","url":"/wechatServer/login?code=073Fzh0w3WeIAW2kY71w3eVD9q0Fzh0-","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"referer":"https://servicewechat.com/wxa32cc12617b4d10b/devtools/page-frame.html","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1 wechatdevtools/1.05.2105170 MicroMessenger/7.0.4 Language/zh_CN webview/"}
