[2021-06-24T19:22:15.871] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:22:20.462] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fa1a29b03cc21fabc476e4ab73acd29d67521f8e1763800f31f53b46daca6c64799f10a4fdeaf1f2f0b65ee38b8fcc22","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:24:23.739] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.018s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:24:57.994] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:25:03.509] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:25:08.863] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:25:10.399] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:25:14.853] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/9926ecc9c85a8a4edb44591f4d021936cc74161ed0c7256810065cefdda6060c6929aa62f480b65c46ba4a2737371898","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.014s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:25:25.081] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:25:26.853] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/951f458a55230f7e9ce47b88488181f7cd8844131f4c83018821ccfc41fd30af84c387cdd4e8da9023034989fdb734c4","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:27:26.117] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.017s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:27:29.300] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:27:34.702] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/bd4716b450acdb1908530ba194891894c8e063252ae5ebd8c1f62df49a86f4864378c8cbfc1a275164cc4816619087b5","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.016s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:29:19.954] [ERROR] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/bd4716b450acdb1908530ba194891894c8e063252ae5ebd8c1f62df49a86f4864378c8cbfc1a275164cc4816619087b5","host":"192.168.10.12:3000","message":"TypeError: context.log is not a function\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/router/router.js:41:11\n    at dispatch (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-compose/index.js:42:32)\n    at module.exports (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/auth/auth.js:26:11)\n    at processTicksAndRejections (internal/process/task_queues.js:93:5)\n    at cors (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa2-cors/dist/index.js:91:9)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-send/index.js:8:9\n    at bodyParser (/Users/tonyload/Desktop/projects/photo/photo_wechat_server/node_modules/koa-bodyparser/index.js:95:5)\n    at /Users/tonyload/Desktop/projects/photo/photo_wechat_server/middleware/mi-log/logger.js:55:5","userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:29:33.037] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/bd4716b450acdb1908530ba194891894c8e063252ae5ebd8c1f62df49a86f4864378c8cbfc1a275164cc4816619087b5","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.02s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:29:35.123] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.013s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:29:35.502] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:29:35.886] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:29:37.095] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/dcea97cde2ff3669151882276b5f673cd5e0f341d76b9f7caecf5681c84cb7b7393f6015aed56c5abf69aabe10fa5487","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:29:43.810] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
